model,split,accuracy,precision_weighted,recall_weighted,f1_weighted
GCN,test,0.5864041314322161,0.5491572268498662,0.5864041314322161,0.5388501915995767
GAT,test,0.5739357652819784,0.541439419787033,0.5739357652819784,0.5219501034426283
