epoch,loss,train_accuracy,validation_accuracy
1,3.7060394287109375,0.17906114953651267,0.07627772744051814
2,3.28609037399292,0.17906114953651267,0.07627772744051814
3,3.1208457946777344,0.2812812702741338,0.3016544179334877
4,3.0575203895568848,0.29085890852310836,0.31024531024531027
5,3.0120439529418945,0.28120429729165064,0.30262760495318636
6,2.9376461505889893,0.25648497377420526,0.2553441390650693
7,2.8670225143432617,0.27487052044732296,0.2881975905231719
8,2.8001644611358643,0.2964009632618951,0.30688949293600454
9,2.7340898513793945,0.3064404394057686,0.3119903352461492
10,2.6599113941192627,0.3308848594143456,0.33373603141045
11,2.584862470626831,0.36936035451556504,0.38914057518708683
12,2.5115230083465576,0.4079238187396224,0.436524715594483
13,2.4412825107574463,0.4303669412036375,0.43535017953622607
14,2.3773016929626465,0.4317744471690437,0.4178999295278365
15,2.3074657917022705,0.4373384941885398,0.41810127856639484
16,2.242274761199951,0.4498191134911646,0.44125641800060406
17,2.1825344562530518,0.4683915945503128,0.4815262257122722
18,2.117056131362915,0.48889939631189455,0.5222658478472432
19,2.0624983310699463,0.5014789808777119,0.5314943454478338
20,2.0109057426452637,0.502391660527155,0.5155877714017248
21,1.9617475271224976,0.5045579001770378,0.5093795093795094
22,1.9155539274215698,0.5177972531641394,0.5240108728480821
23,1.868713140487671,0.5335767145731848,0.5494815262257122
24,1.8252567052841187,0.5479376738764694,0.5660928219067753
25,1.7908910512924194,0.5531718366853234,0.5686768012349408
26,1.755259394645691,0.5568445475638051,0.5677371723883352
27,1.71736478805542,0.5625185559868486,0.5721332930635257
28,1.6861613988876343,0.5684674679187605,0.5800194637403939
29,1.6554474830627441,0.5750761482719565,0.5892144031678915
30,1.625250220298767,0.5815308826601863,0.5962951776905265
