epoch,loss,train_accuracy,validation_accuracy
1,3.673520088195801,0.17906114953651267,0.07627772744051814
2,3.3073737621307373,0.17906114953651267,0.07627772744051814
3,3.161473512649536,0.2752333930790293,0.29960736937481125
4,3.087942361831665,0.2650509671105442,0.29571462129601667
5,3.0387187004089355,0.28848374220648554,0.3092050068794255
6,2.970184326171875,0.27955487623844033,0.2948421087955972
7,2.9059386253356934,0.2829856720291178,0.2912849424477331
8,2.8567004203796387,0.2972476660692097,0.3079633544749824
9,2.7957422733306885,0.31691976116383147,0.3197087150575523
10,2.7325093746185303,0.33785641239924785,0.3348770092956139
11,2.673109769821167,0.35693471591471393,0.35118628141883956
12,2.627363681793213,0.374308617675196,0.3683680660424846
13,2.5703325271606445,0.39465147733145667,0.39175811268834526
14,2.512284517288208,0.4168526847076676,0.4184368602973254
15,2.46463680267334,0.43914186120671644,0.44209537232793045
16,2.4136955738067627,0.46337735454855344,0.46162622906808953
17,2.356234312057495,0.4810151636775492,0.47682808147924427
18,2.314230442047119,0.4897900836806281,0.4841102050404376
19,2.266237258911133,0.49411156684003915,0.48867411658109333
20,2.227649688720703,0.49837806929767653,0.4980368468740562
21,2.181405782699585,0.5054375914054167,0.5108560689956039
22,2.1427459716796875,0.5155320482510639,0.5252189670794322
23,2.1122782230377197,0.5268690689567962,0.5402865867982147
24,2.0743560791015625,0.5374693482587611,0.551696365649854
25,2.037916660308838,0.5453865693141707,0.5591127219034195
26,2.0160574913024902,0.5509836047547311,0.5642135642135642
27,1.9919630289077759,0.5538316051066076,0.5673009161381254
28,1.9694125652313232,0.5580981075642449,0.5719319440249673
29,1.9471492767333984,0.5654325331808535,0.5781737642202759
30,1.922948956489563,0.5720412135340496,0.5845833752810496
